Unnamed: 0,author_id,rating,is_recommended,helpfulness,total_feedback_count,total_neg_feedback_count,total_pos_feedback_count,submission_time,review_text,review_title,skin_tone,eye_color,skin_type,hair_color,product_id,product_name,brand_name,price_usd
4172,11924880664,5,1.0,1.0,2,0,2,2020-11-27,"This is the best lip product I have ever tried. After using this product for about a week, I found my lips are much less chapped than usual. I would recommend this anyone, especially if you like wearing matte lipstick.",This Lip Mask is Amazing,fairLight,blue,combination,red,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
87231,21150183589,1,0.0,0.3333329856395721,3,2,1,2020-12-22,"I was hoping that it would help with my acne and acne scars but it made my acne worse and it didn’t help fade my acne scars. I was thinking that maybe I needed to be patient but each time I used it, my skin felt rough like sandpaper and I kept getting red marks on my face.",Don’t Recommend,light,brown,combination,black,P427417,Niacinamide 10% + Zinc 1% Oil Control Serum,The Ordinary,6.0
73326,5456195314,2,0.0,0.7142860293388367,7,2,5,2023-03-06,"If your skin is already dry, this is not for you. It is a strong cleanser and the green tea will dry out your skin after each wash.",,,brown,combination,black,P411387,Superfood Antioxidant Cleanser,Youth To The People,39.0
69521,9946219247,1,0.0,0.2000000029802322,10,8,2,2020-02-23,I was very interested in this brand due to all the hype and the “clean“ label. I got a sample and I disliked it so much I didn’t even finish the sample size. I trashed it after two uses. It is soooo greasy. It did not feel good on my face and probably was not a good idea to sleep in. It would probably get in your hair and pillow cases and make them greasy too. Realllyyyy questioning all the excitement for this brand.,Nope. Why does everyone think it's cool?,,,dry,,P427421,Protini Polypeptide Firming Refillable Moisturizer,Drunk Elephant,68.0
98407,2275698157,3,0.0,0.8125,16,3,13,2020-12-28,"I’m a big fan of Dr. Jart’s Tiger Grass Cream because it always seems to help my skin out when it’s feeling angry, so I was happy to use 100 reward points on this. Unfortunately, I don’t think it really does much to correct redness in any meaningful way, even when I use more than the suggested “moderate“ amount. I also found that the green color didn’t transition to beige entirely successfully and I wound up having to add some concealer or light foundation on top to correct the color correction (and any lingering redness that didn’t get much help from the product).","Disappointingly ""Meh""",fair,blue,combination,brown,P411540,Cicapair Tiger Grass Color Correcting Treatment SPF 30,Dr. Jart+,52.0
12150,1850830963,1,0.0,0.800000011920929,5,1,4,2018-10-29,This dried out my lips like no other. I used about half the jar and couldn’t figure out why my lips were so dry. I stopped using this and my lips improved drastically. Buy a chapstick and save some coin.,Dries out my lips,mediumTan,hazel,dry,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
67294,33893202855,1,0.0,0.4000000059604645,5,3,2,2023-02-08,literally broke me out so bad. not sure why this product has so much hype. do not waste your money on this.,Terrible for acne prone skin,light,blue,oily,,P427421,Protini Polypeptide Firming Refillable Moisturizer,Drunk Elephant,68.0
75870,24811347634,3,0.0,1.0,1,0,1,2020-12-19,"Dried out my skin - the drunk elephant cleanser was a lot better for the price point. Not worth the cost, I’m sure there a better and more gentler cleansers out there. This one made me break out :(",,lightMedium,brown,combination,black,P411387,Superfood Antioxidant Cleanser,Youth To The People,39.0
74299,11067021340,5,1.0,1.0,1,0,1,2022-01-06,This product lathers wonderfully which is something I look for in a good cleanser. I have sensitive skin and this did not irritate me at all. I love that this product is clean beauty and have already recommended it to others. 10/10!!,Great Product !,tan,brown,dry,brown,P411387,Superfood Antioxidant Cleanser,Youth To The People,39.0
30530,1548650710,2,,1.0,1,0,1,2011-07-25,"I applied this to my face while it was damp, and it just sat on top of my skin and never absorbed. I will be returning this this week :-/",Greasy,fair,,combination,,P218700,100 percent Pure Argan Oil,Josie Maran,49.0
10501,1614413256,3,0.0,,0,0,0,2019-05-05,"The texture and fruity smell is nice. I also love that it comes with a spatula, it felt really luxurious to use. But I was hoping it would help with my chapped lips cuz I’ve heard so many good things about this product, but it did nothing but sit on top of my chapped lips. Not for me, I guess.",,medium,brown,combination,black,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
69451,6538886369,3,0.0,0.800000011920929,5,1,4,2020-03-12,"This moisturizer is okay. I personally didn’t quite notice much of a difference. I recently lost weight, so and firming of my face may have to do with that. It isn’t very moisturizing, although it doesn’t claim to be, so I can’t really fault it for that. I have sensitive skin, and on the very rare occasion it would make my rosacea patches burn. Most of the time, though, it felt fine. It just wasn’t really anything to write home about. I may try it again sometime to see if maybe I was missing something?",It’s Okay,fair,green,combination,brown,P427421,Protini Polypeptide Firming Refillable Moisturizer,Drunk Elephant,68.0
19944,5400666930,2,,1.0,1,0,1,2017-03-05,"I love the smell of this product, but it makes me break out so bad. I’m really bummed out I spent so much on this because I only used it about 3 times and realized I can’t use it anymore...",Smells nice - makes me break out,,,combination,,P7880,Soy Hydrating Gentle Face Cleanser,fresh,39.0
89472,9134582376,1,0.0,,0,0,0,2019-10-28,"I love a lot of the ordinary products, just not this serum. It made me break out after using it for three weeks, and I know it wasn’t a purging process, it just genuinely irritated my skin. I would not recommend this for dry, sensitive acne prone skin like myself",not for me,light,brown,dry,brown,P427417,Niacinamide 10% + Zinc 1% Oil Control Serum,The Ordinary,6.0
80563,20200383822,3,0.0,1.0,1,0,1,2021-08-10,"I wanted to love this like everyone else. The smell is so pleasant and refreshing and the packaging is so pretty. But even with my normal-slightly oily skin, this made me feel like I was losing the moisture I worked so hard to finally establish in my skin. Like it Cleansed a little too well. Also I can’t justify the almost $40 price tag. :(",honestly…,tan,blue,normal,black,P441644,Mini Superfood Antioxidant Cleanser,Youth To The People,14.0
73626,2313102767,3,0.0,1.0,2,0,2,2022-09-02,"I will admit that it feels great going on and leaves a clean refreshed feeling,  but I noticed that I started breaking out more after using this for only a few days. My search for holy grail cleanser continues...",,light,,combination,brown,P411387,Superfood Antioxidant Cleanser,Youth To The People,39.0
18473,1139478574,2,0.0,1.0,1,0,1,2018-12-26,"Requires too much product to clean the face (and I double cleanses with a balm first). I used for 3 days and I now have four large pimples. It smell divine but unfortunately, I will be returning tomorrow.",Did not work for me.,deep,brown,combination,black,P7880,Soy Hydrating Gentle Face Cleanser,fresh,39.0
92991,1979093003,1,0.0,0.625,8,3,5,2020-01-06,I received this as a sample and was eager to try it for seven nights. The smell was rancid! No one else has mentioned it on the reviews I read so maybe it’s just me but the smell was so bad I had to wash it off after two minutes. I threw the other six samples in the garbage.,Awful smelling,,,,,P309308,Good Genes All-In-One AHA Lactic Acid Treatment,Sunday Riley,122.0
70562,6812743316,4,1.0,0.6666669845581055,3,1,2,2019-08-24,"I want to hate this, and yet, I can’t. I received a decent-sized sample as my bday reward, and I was genuinely hoping it would suck so I could move on with my life and not be tempted to buy this $70 moisturizer. But of course, it was just as amazing as everyone says. I just can’t swallow the price, and for that reason, I’ll keep searching for my HG moisturizer.",,fairLight,hazel,combination,red,P427421,Protini Polypeptide Firming Refillable Moisturizer,Drunk Elephant,68.0
98675,1319196502,2,0.0,1.0,6,0,6,2020-06-12,"I was not impressed with this cream.  It does not blend easily and if you blend it too much, it doesn’t color correct. My redness is pretty mild. You could do better with other color correctors.",Cicpair Color Correcting,lightMedium,hazel,dry,red,P411540,Cicapair Tiger Grass Color Correcting Treatment SPF 30,Dr. Jart+,52.0
64345,1800288360,5,1.0,,0,0,0,2019-09-28,A little bit goes a long way! This is the only makeup remover that fully removes eyeliner.,,fair,Grey,combination,red,P450271,Green Clean Makeup Meltaway Cleansing Balm Limited Edition Jumbo,Farmacy,60.0
36962,2846809231,3,,1.0,10,0,10,2014-11-12,"i am really excited to try this cause i heard lots of good results from it, but somehow it makes my skin oily at night, so i stopped use it at nighttime just use as daytime moisturizer, that works! smooth and easy to absorb, not greasy at all, i am a day to combination skin, so for those have he same type skin as me, i suggest to use it just daytime.",perfect use on daytime,,,combination,,P248407,Ultra Repair Cream Intense Hydration,First Aid Beauty,38.0
58733,2310519422,1,0.0,1.0,3,0,3,2019-05-17,This caused breakouts & irritated skin around my eyes. It also contains PE which is a cheap plastic garbage ingredient.,,lightMedium,hazel,combination,brown,P417238,Green Clean Makeup Removing Cleansing Balm,Farmacy,36.0
89232,12362947006,3,1.0,1.0,2,0,2,2020-01-19,"Really wanted to love it but it burned every time I put it on, still worth the try for the price point since it seems to work for other people we’ll enough.",Skin irritation,fair,green,combination,brown,P427417,Niacinamide 10% + Zinc 1% Oil Control Serum,The Ordinary,6.0
51822,5546500443,1,0.0,,0,0,0,2019-02-12,I have extremely dry combination skin and I got a trial of this product and it honestly didn’t do much for me. I still had to layer another cream on top of this.,,medium,brown,dry,brown,P394639,The True Cream Aqua Bomb,belif,38.0
89621,13069250861,5,1.0,,0,0,0,2019-08-31,"this product kind of irritated my skin but after a week, i started to notice an improvement in my skin texture and a decrease in pimples.",amazing,fair,green,combination,brown,P427417,Niacinamide 10% + Zinc 1% Oil Control Serum,The Ordinary,6.0
17504,8998005616,5,1.0,,0,0,0,2019-10-17,"a friend who works in cosmetics at Nordstrom recommenced this face wash for me, my skin was extremely dry, textured with large pores, since Ive been using this my skin is hydrated and supple, and my texture has gone down significantly although I’ve been using the first aid radiance pads along with it. both holy grail products in my skincare routine",HOLY GRAIL,mediumTan,brown,dry,brown,P7880,Soy Hydrating Gentle Face Cleanser,fresh,39.0
94973,8412431784,5,,1.0,5,0,5,2017-04-16,"I love this so much!! I highly recommend buying this. This has helped with my acne, acne scars, and the fine lines that are starting to show up on my face at the age of 25. Best thing I’ve ever purchased from Sephora! BUT.... why did the price increase just before the VIB sale?!?!",most amazing lactic acid treatment available,,,,,P309308,Good Genes All-In-One AHA Lactic Acid Treatment,Sunday Riley,122.0
62029,7594068915,2,1.0,0.5,2,1,1,2021-08-16,"I like that it removes everything smoothly, but it has made my face way too dry. Also it has an unpleasant scent, like a lemon scented floor cleaner. Probably better for oily skin types.",not for me,fair,brown,combination,black,P450271,Green Clean Makeup Meltaway Cleansing Balm Limited Edition Jumbo,Farmacy,60.0
67292,33626691208,2,0.0,1.0,2,0,2,2023-02-10,"I really want to like this product, but unfortunately this is the only DE product that does not work for me at all. It breaks me out like crazy.",,,hazel,dry,blonde,P427421,Protini Polypeptide Firming Refillable Moisturizer,Drunk Elephant,68.0
8369,1728384953,5,1.0,1.0,1,0,1,2019-11-04,got in the Christmas asian skincare set after receiving a free trial size in apple like flavor. it’s amazing. I tried bite beauty and I thought that was great at holding in moisture that was already there but this is excellent at ADDING moisture and the original flavor is lovely and smells so sweet and nice but not too over poweringly sweet.,so good I'm buying the daytime lip balm,mediumTan,brown,combination,black,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
91498,30445513197,5,1.0,,0,0,0,2021-02-19,This was complimentary from Sunday Riley as a gift. I have been using this Sunday Riley Good Genes for the past week and I’m absolutely loving it. I use it as a mask at night. It leaves my skin feeling so smooth and nice. I have seen some results within the first few uses. Huge improvement with my fine lines and wrinkles around my eyes.  . I’m very very pleased and i highly recommended this brand and product.,Amazingly amazing,lightMedium,blue,combination,blonde,P309308,Good Genes All-In-One AHA Lactic Acid Treatment,Sunday Riley,122.0
82097,1537671850,3,0.0,0.8181819915771484,11,2,9,2020-08-14,"I got a free mini bottle of this and used it for about a week. I didn’t notice any difference in my skin compared to my normal Aveeno cleanser, and the latter is much cheaper so I don’t think this is worth the price. I did love that a little goes a long way, so if you’re on the fence, get the mini and check it out--it’ll last longer than most samples!",OK but not worth price,fair,green,combination,brown,P441644,Mini Superfood Antioxidant Cleanser,Youth To The People,14.0
47261,1234306225,1,,0.3846150040626526,39,24,15,2013-02-12,"Bought this item and was told that they were the same as 5 pack ... 30 pack pads stuck together ,they rolled when I used them.. Horrible product returned to store and was given a store credit even though I had a receipt.. The 5 packs were not available in store but only online but I can’t get them because the store credit will only let me get something in the store not online.. Rethinking shopping at Sephora.. Never had a problem before but this time sephora is not the place to shop",Horrible product,,,,,P269122,Alpha Beta Extra Strength Daily Peel Pads,Dr. Dennis Gross Skincare,92.0
82607,8503028820,5,1.0,,0,0,0,2020-05-21,"Bought it cause of the hype, keeping it cause it’s amazing. I have combination skin, with very dry winters and kinda oily summers, I’ve tried my fair share of cleansers and this is the first one that doesn’t leave my face dry. I love it.",I understand the hype now!,fair,hazel,combination,brown,P441644,Mini Superfood Antioxidant Cleanser,Youth To The People,14.0
22688,1499663132,3,,0.5,2,1,1,2013-08-10,"Smells like pickles. I am returning. I felt pressured into purchasing this product by a pushy associate, as well.",Nice cleanser. Unfortunate odor.,,,dry,,P7880,Soy Hydrating Gentle Face Cleanser,fresh,39.0
97357,2498703749,2,0.0,0.6666669845581055,6,2,4,2021-06-15,"The color correction works great. This stuff cancel out the redness around my nose and post-acne marks. It went on almost like a white cast but eventually mellow out with a more skin like color. My skin is quite fair and I am used to that shade from Korean BB creams and CC creams, however I don’t know if it can adjust to a darker skin tone. When I just spread this out with my fingers on top of a serum and a moisturizer it can leave my skin with a nice glow but then my face gets a greasy feeling real fast, especially in this Texas heat. So here is how I’ve been using this to get a hold of that situation. I applied the Sephora Clear Skin Days matte booster powder after my moisturizer, dotted the Cicapair around my face, then used a CC cream cushion puff to spread and pat it out evenly. I have found it helpful with the oily and greasy feeling but still maintaining the glow. However, that is a lot to go through just to apply sunscreen. I won’t be purchasing a full size once I’m done this this mini jar.",,fair,brown,combination,auburn,P411540,Cicapair Tiger Grass Color Correcting Treatment SPF 30,Dr. Jart+,52.0
40503,1370803357,2,0.0,0.75,12,3,9,2021-07-13,"I was super underwhelmed by and disappointed in this product. I used 10 samples I got from Sephora rewards/codes. I’m not usually retinol sensitive, but from the first use I noticed under the skin zits and whiteheads forming. I tried to ride it out, but by the 10th day on my last sample, I was excited to go back to my normal ordinary red peel.  One use of that product, and my skin is calmer and much smoother. I will say the peel wipes did help an area of pigmentation from a previous breakout. so it isn’t worthless. But this just wasn’t a good fit for me.","The Neverending Purge, and no texture improvement",lightMedium,blue,combination,brown,P269122,Alpha Beta Extra Strength Daily Peel Pads,Dr. Dennis Gross Skincare,92.0
26084,6061251400,5,,1.0,2,0,2,2017-01-21,"This is the best product I have used for my skin. It is magical! Lol I’ll definitely be buying another bottle after I go through this one. And it lastest. I am set with 2 or 3 drops a day. Thank you Sephora ladies, for helping me pick this product out.",The Best.,,,,,P218700,100 percent Pure Argan Oil,Josie Maran,49.0
81001,21965853660,1,0.0,0.9166669845581056,12,1,11,2021-06-06,"Thought I loved it, but started to breakout my skin with cystic acne and completely stripped my skin....",Not for acne-prone sensitive.,light,hazel,combination,brown,P441644,Mini Superfood Antioxidant Cleanser,Youth To The People,14.0
80299,5170682555,1,0.0,0.6666669845581055,3,1,2,2021-11-18,"I received a sample of the Kale + Green Tea cleanser and was very disappointed.  I’m 45 with normal, T-zone skin.  I usually clean my face with the Cerave cleansing bar and have the standard “reduce as much aging as possible“ concerns.The first thing I noticed about this cleanser was the smell.  It had a fragrance as soon as I opened the package.  Still I continued to use it, the cleanser just got more fragrant as I used it.  Some people might like the smell, but a lot of scents can trigger migraines for me so I stay away from them. Luckily I did NOT get a migraine from this scent.The other thing I noticed after using it was how tight my skin felt afterwards.  That I really didn’t like and doesn’t happen when I use my Cerave bar.Needless to say I will not be using the remainder of the sample.",Too Fragrant & Left my skin feeling tight,medium,brown,combination,brown,P441644,Mini Superfood Antioxidant Cleanser,Youth To The People,14.0
72868,1422066817,3,1.0,,0,0,0,2018-04-05,i have combination skin and my skin was dry. i tried this product out and it was ehh. it was moisturizing but i continue to be oily. not sure if this is “the“ product,,lightMedium,brown,combination,black,P427421,Protini Polypeptide Firming Refillable Moisturizer,Drunk Elephant,68.0
62449,5553023068,5,1.0,,0,0,0,2021-03-09,"This stuff can take it all. Eyelash glue, waterproof black mascara and liners, foundation and powders too; not only does it deep clean but it leaves your skin feeling amazing afterwards. Perfect for someone like me who likes my routine short and simple. The balm leaves my skin feeling so soft and supple, so perfect for dry skin as well.",Holy Grail,fairLight,blue,dry,red,P450271,Green Clean Makeup Meltaway Cleansing Balm Limited Edition Jumbo,Farmacy,60.0
16103,7494239909,5,,0.875,40,5,35,2017-06-25,"I have been on Accutane since December 2016. Recently, my lips have been the worst they’ve ever been - cracked, dry, always peeling to the point it burns and hurts to move my mouth. I also recently purchased the Bite Beauty Agave Lip Mask and the Jack Black lip balm, both of which I love as well. But this one has done a wonderful job of soothing my lips. The consistency is nice and I slather it on at night and use a little less in the morning. I’m thinking of purchasing another one just to keep in my bag but we’ll see. I’ve only had it for two days but I see good things happening with this product.",Amazing!,,,,,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
57199,22067750160,2,0.0,1.0,10,0,10,2020-05-29,"This product is really great when it comes to melting my makeup off. It took off all my waterproof mascara, lipstick, etc. However, after only a couple days of using it, my eyelids and under eyes got incredibly dry & irritated and I had to stop using it. It also always left a film over my eyes and I couldn’t see properly for a few minutes after using.","Great, until...",lightMedium,brown,combination,black,P417238,Green Clean Makeup Removing Cleansing Balm,Farmacy,36.0
63630,1766984628,5,1.0,1.0,1,0,1,2020-04-18,"I love the ingredients in this balm, that’s what sets this one apart from all the others. It truly does melt everything away, even waterproof mascara. This is a staple in my skincare routine.",Constantly Repurchasing,lightMedium,hazel,combination,brown,P450271,Green Clean Makeup Meltaway Cleansing Balm Limited Edition Jumbo,Farmacy,60.0
65569,1748142280,5,1.0,,0,0,0,2019-01-12,"So i went to sephora to buy the tatcha cleansing oil i usually use to remove my makeup, and they recommended me this instead and WOW. it is amazing, not only does it remove all your makeup and leave your face clean, i woke up this morning with my face extra hydrated and complexion looking better",INSANE,lightMedium,green,combination,blonde,P450271,Green Clean Makeup Meltaway Cleansing Balm Limited Edition Jumbo,Farmacy,60.0
44893,5784953349,3,0.0,,0,0,0,2019-05-29,This is my first time trying Dr. Dennis Gross Alpha Beta Extra Strength Daily Peel and I used it for 3 days. The 2 step system is easy to use and the pads are decently sized. There were some mild tingling but other than that these were gentle on the skin. I did not notice any difference after 3 days. INGREDIENTS: fragrance.,,light,brown,combination,black,P269122,Alpha Beta Extra Strength Daily Peel Pads,Dr. Dennis Gross Skincare,92.0
72865,12521222720,1,0.0,0.75,4,1,3,2018-04-06,It makes me break out even more. Not good for oily face.I’m currently using other DE products but this one is a big no if you have acne and oily face.,Not good for Oily faces,light,hazel,oily,brown,P427421,Protini Polypeptide Firming Refillable Moisturizer,Drunk Elephant,68.0
37681,1175322205,5,,1.0,3,0,3,2013-12-22,I got a sample of this years ago and liked it. I bought a tube of it and I’ve been using it ever since. I actually use this on my face and I haven’t had an issues. And since I use it on my face it lasts me a long time so it’s a super good value for me.,been using for years,,,normal,,P248407,Ultra Repair Cream Intense Hydration,First Aid Beauty,38.0
789,30889697624,2,0.0,0.4166670143604278,12,7,5,2022-09-01,"Does this product feel nice on your lips? YesDo I feel it made any noticeable difference? NoDid it break me out around my mouth? Yes. Note that even if you’re careful not to get it on your skin, this is a “slippery”",Overrated - Just use Aquaphor,lightMedium,brown,combination,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
77220,5074298032,3,1.0,0.3333329856395721,3,2,1,2020-03-19,Love the cleanser itself but the bottle wastes so much product for the price. Leaks everywhere feels like a waste of money :(,bad packaging,fair,hazel,combination,brown,P411387,Superfood Antioxidant Cleanser,Youth To The People,39.0
19722,2063980368,3,,,0,0,0,2017-07-20,"I really wanted to love this. It is gentle and smells lovely. However, like many other reviewers have stated, I broke out in tiny bumps after I started using this. Make sure you get a sample before you buy.",Broke me out,,,combination,,P7880,Soy Hydrating Gentle Face Cleanser,fresh,39.0
17002,8889344813,1,0.0,0.8181819915771484,11,2,9,2020-05-21,"Feels slimey on my face and doesn’t lather well at all, so I have to use a larger amount. It really didn’t seem to have any better effect on my skin than any drugstore brand, although it does remove makeup well—if you’re willing to use a lot of it.",,light,blue,oily,blonde,P7880,Soy Hydrating Gentle Face Cleanser,fresh,39.0
50272,1615668188,3,0.0,,0,0,0,2020-06-12,this product provided moisture but not enough for my dry skin type. the gel based formula is probably better suited for more oily skin types. the product does absorb into the skin quickly so it does work well under makeup. the blue colour of the product is pretty but that may be a concern for more sensitive skin types,,fair,green,combination,auburn,P394639,The True Cream Aqua Bomb,belif,38.0
16879,9105103012,3,1.0,0.3571430146694183,14,9,5,2020-07-07,"This is a nice and gentle daily cleanser. However, it doesn’t remove the make up properly. I tried it to remove the lipstick on my hand and it cannot clean it well. It doesn’t meet my expectation of removing sunscreen, primer and blush in one step. The Philosophy 3 in 1 does much better job",doesn't remove make up properly,fair,,dry,,P7880,Soy Hydrating Gentle Face Cleanser,fresh,39.0
